지역,날짜,날씨,최저온도,최고온도
서울,2022-07-02 00:00,구름많음,24,31
서울,2022-07-02 12:00,구름많음,24,31
서울,2022-07-03 00:00,구름많음,23,30
서울,2022-07-03 12:00,구름많음,23,30
서울,2022-07-04 00:00,구름많음,23,29
서울,2022-07-04 12:00,흐림,23,29
서울,2022-07-05 00:00,흐림,23,28
서울,2022-07-05 12:00,흐리고 비,23,28
서울,2022-07-06 00:00,흐리고 비,23,29
서울,2022-07-06 12:00,흐리고 비,23,29
서울,2022-07-07 00:00,흐리고 비,23,28
서울,2022-07-08 00:00,흐리고 비,23,28
서울,2022-07-09 00:00,흐림,23,30
인천,2022-07-02 00:00,구름많음,23,28
인천,2022-07-02 12:00,구름많음,23,28
인천,2022-07-03 00:00,구름많음,22,27
인천,2022-07-03 12:00,구름많음,22,27
인천,2022-07-04 00:00,구름많음,23,27
인천,2022-07-04 12:00,흐림,23,27
인천,2022-07-05 00:00,흐림,23,27
인천,2022-07-05 12:00,흐리고 비,23,27
인천,2022-07-06 00:00,흐리고 비,23,27
인천,2022-07-06 12:00,흐리고 비,23,27
인천,2022-07-07 00:00,흐리고 비,23,27
인천,2022-07-08 00:00,흐리고 비,22,28
인천,2022-07-09 00:00,흐림,23,29
수원,2022-07-02 00:00,구름많음,23,32
수원,2022-07-02 12:00,구름많음,23,32
수원,2022-07-03 00:00,구름많음,23,30
수원,2022-07-03 12:00,구름많음,23,30
수원,2022-07-04 00:00,구름많음,23,29
수원,2022-07-04 12:00,흐림,23,29
수원,2022-07-05 00:00,흐림,23,29
수원,2022-07-05 12:00,흐리고 비,23,29
수원,2022-07-06 00:00,흐리고 비,23,29
수원,2022-07-06 12:00,흐리고 비,23,29
수원,2022-07-07 00:00,흐리고 비,24,29
수원,2022-07-08 00:00,흐리고 비,23,29
수원,2022-07-09 00:00,흐림,23,30
파주,2022-07-02 00:00,구름많음,22,30
파주,2022-07-02 12:00,구름많음,22,30
파주,2022-07-03 00:00,구름많음,21,30
파주,2022-07-03 12:00,구름많음,21,30
파주,2022-07-04 00:00,구름많음,22,31
파주,2022-07-04 12:00,흐림,22,31
파주,2022-07-05 00:00,흐림,23,30
파주,2022-07-05 12:00,흐리고 비,23,30
파주,2022-07-06 00:00,흐리고 비,23,29
파주,2022-07-06 12:00,흐리고 비,23,29
파주,2022-07-07 00:00,흐리고 비,23,28
파주,2022-07-08 00:00,흐리고 비,23,29
파주,2022-07-09 00:00,흐림,23,29
이천,2022-07-02 00:00,구름많음,22,32
이천,2022-07-02 12:00,구름많음,22,32
이천,2022-07-03 00:00,구름많음,22,32
이천,2022-07-03 12:00,구름많음,22,32
이천,2022-07-04 00:00,구름많음,22,31
이천,2022-07-04 12:00,흐림,22,31
이천,2022-07-05 00:00,흐림,23,30
이천,2022-07-05 12:00,흐리고 비,23,30
이천,2022-07-06 00:00,흐리고 비,23,30
이천,2022-07-06 12:00,흐리고 비,23,30
이천,2022-07-07 00:00,흐리고 비,23,30
이천,2022-07-08 00:00,흐리고 비,23,30
이천,2022-07-09 00:00,흐림,23,31
평택,2022-07-02 00:00,구름많음,23,33
평택,2022-07-02 12:00,구름많음,23,33
평택,2022-07-03 00:00,구름많음,23,31
평택,2022-07-03 12:00,구름많음,23,31
평택,2022-07-04 00:00,구름많음,23,31
평택,2022-07-04 12:00,흐림,23,31
평택,2022-07-05 00:00,흐림,24,30
평택,2022-07-05 12:00,흐리고 비,24,30
평택,2022-07-06 00:00,흐리고 비,24,31
평택,2022-07-06 12:00,흐리고 비,24,31
평택,2022-07-07 00:00,흐리고 비,24,30
평택,2022-07-08 00:00,흐리고 비,23,31
평택,2022-07-09 00:00,흐림,24,31
춘천,2022-07-02 00:00,구름많음,23,31
춘천,2022-07-02 12:00,구름많음,23,31
춘천,2022-07-03 00:00,구름많음,22,32
춘천,2022-07-03 12:00,구름많음,22,32
춘천,2022-07-04 00:00,구름많음,23,31
춘천,2022-07-04 12:00,구름많음,23,31
춘천,2022-07-05 00:00,흐림,23,30
춘천,2022-07-05 12:00,흐리고 비,23,30
춘천,2022-07-06 00:00,흐리고 비,24,29
춘천,2022-07-06 12:00,흐리고 비,24,29
춘천,2022-07-07 00:00,흐리고 비,23,29
춘천,2022-07-08 00:00,흐리고 비,23,29
춘천,2022-07-09 00:00,흐림,23,30
원주,2022-07-02 00:00,구름많음,23,32
원주,2022-07-02 12:00,구름많음,23,32
원주,2022-07-03 00:00,구름많음,23,32
원주,2022-07-03 12:00,구름많음,23,32
원주,2022-07-04 00:00,구름많음,23,31
원주,2022-07-04 12:00,구름많음,23,31
원주,2022-07-05 00:00,흐림,24,31
원주,2022-07-05 12:00,흐리고 비,24,31
원주,2022-07-06 00:00,흐리고 비,24,31
원주,2022-07-06 12:00,흐리고 비,24,31
원주,2022-07-07 00:00,흐리고 비,23,30
원주,2022-07-08 00:00,흐리고 비,23,30
원주,2022-07-09 00:00,흐림,24,31
강릉,2022-07-02 00:00,구름많음,25,31
강릉,2022-07-02 12:00,구름많음,25,31
강릉,2022-07-03 00:00,맑음,25,31
강릉,2022-07-03 12:00,구름많음,25,31
강릉,2022-07-04 00:00,구름많음,25,31
강릉,2022-07-04 12:00,흐림,25,31
강릉,2022-07-05 00:00,흐림,25,30
강릉,2022-07-05 12:00,흐리고 비,25,30
강릉,2022-07-06 00:00,흐리고 비,25,30
강릉,2022-07-06 12:00,흐리고 비,25,30
강릉,2022-07-07 00:00,흐리고 비,24,29
강릉,2022-07-08 00:00,흐리고 비,23,29
강릉,2022-07-09 00:00,흐림,24,30
대전,2022-07-02 00:00,구름많음,24,33
대전,2022-07-02 12:00,구름많음,24,33
대전,2022-07-03 00:00,구름많음,24,32
대전,2022-07-03 12:00,흐림,24,32
대전,2022-07-04 00:00,흐림,24,32
대전,2022-07-04 12:00,흐리고 비,24,32
대전,2022-07-05 00:00,흐림,24,30
대전,2022-07-05 12:00,흐리고 비,24,30
대전,2022-07-06 00:00,흐리고 비,24,31
대전,2022-07-06 12:00,흐리고 비,24,31
대전,2022-07-07 00:00,흐리고 비,24,30
대전,2022-07-08 00:00,흐리고 비,24,31
대전,2022-07-09 00:00,흐림,24,31
세종,2022-07-02 00:00,구름많음,23,32
세종,2022-07-02 12:00,구름많음,23,32
세종,2022-07-03 00:00,구름많음,22,31
세종,2022-07-03 12:00,흐림,22,31
세종,2022-07-04 00:00,흐림,23,31
세종,2022-07-04 12:00,흐리고 비,23,31
세종,2022-07-05 00:00,흐림,24,29
세종,2022-07-05 12:00,흐리고 비,24,29
세종,2022-07-06 00:00,흐리고 비,24,30
세종,2022-07-06 12:00,흐리고 비,24,30
세종,2022-07-07 00:00,흐리고 비,24,30
세종,2022-07-08 00:00,흐리고 비,24,31
세종,2022-07-09 00:00,흐림,24,30
홍성,2022-07-02 00:00,구름많음,23,32
홍성,2022-07-02 12:00,구름많음,23,32
홍성,2022-07-03 00:00,구름많음,22,31
홍성,2022-07-03 12:00,흐림,22,31
홍성,2022-07-04 00:00,흐림,23,31
홍성,2022-07-04 12:00,흐리고 비,23,31
홍성,2022-07-05 00:00,흐림,24,28
홍성,2022-07-05 12:00,흐리고 비,24,28
홍성,2022-07-06 00:00,흐리고 비,24,29
홍성,2022-07-06 12:00,흐리고 비,24,29
홍성,2022-07-07 00:00,흐리고 비,24,29
홍성,2022-07-08 00:00,흐리고 비,24,30
홍성,2022-07-09 00:00,흐림,24,30
청주,2022-07-02 00:00,구름많음,24,33
청주,2022-07-02 12:00,구름많음,24,33
청주,2022-07-03 00:00,구름많음,24,32
청주,2022-07-03 12:00,흐림,24,32
청주,2022-07-04 00:00,흐림,24,32
청주,2022-07-04 12:00,흐리고 비,24,32
청주,2022-07-05 00:00,흐림,25,31
청주,2022-07-05 12:00,흐리고 비,25,31
청주,2022-07-06 00:00,흐리고 비,25,32
청주,2022-07-06 12:00,흐리고 비,25,32
청주,2022-07-07 00:00,흐리고 비,25,31
청주,2022-07-08 00:00,흐리고 비,24,31
청주,2022-07-09 00:00,흐림,25,32
충주,2022-07-02 00:00,구름많음,23,33
충주,2022-07-02 12:00,구름많음,23,33
충주,2022-07-03 00:00,구름많음,22,32
충주,2022-07-03 12:00,흐림,22,32
