매장명,주소
비발디파크,강원 홍천군 서면 한치골길 262 (팔봉리)
춘천이마트,강원 춘천시 온의동 511번지 이마트춘천점 1층
춘천퇴계,강원 춘천시 행촌로 28
춘천한숲시티,강원 춘천시 퇴계동 1240
춘천온의,강원 춘천시 온의동 590 온의롯데캐슬스카이클래스 1층
문막,강원 원주시 문막읍 건등리 200-6 1층
춘천석사,강원 춘천시 지석로 75
춘천명동,강원 춘천시 중앙로 67번길 3
강원대,강원 춘천시 효자동 628-10
원주기업센텀,강원 원주시 지정면 가곡리 1497-1
원주기업스타,"강원 원주시 지정면 신지정로 211, 스타세븐상가 156호"
춘천애막골,강원 춘천시 석사동 729-1
춘천강북,강원 춘천시 충열로 10-13
춘천후평,강원 춘천시 후석로 296
춘천장학,강원 춘천시 동면 장학리 1007-5
홍천중앙로,강원 홍천군 홍천읍 꽃뫼로 99-2
철원동송,강원 철원군 동송읍 이평리 680-6
원주단계,강원 원주시 단계동 1216
원주터미널,강원 원주시 서원대로 171 원주시외버스터미널
원주무실,강원 원주시 무실동 1857-10 (시네씨티타워 1층)
원주태장,강원 원주시 북원로 2706
원주중앙,강원 원주시 원일로 122-2 (중앙동)
원주구곡,"강원 원주시 단구동 1511-1 스타프라자 103,104호"
원주단관,강원 원주시 단구로 369
강원횡성,강원 횡성군 횡성읍 문정로 21 (읍하리)
원주반곡,"강원 원주시 늘품로 187-58 (단구동, 현대아카데미프라자) 113호, 114호"
원주혁신,강원 원주시 반곡동 1885-3
철원와수,강원 철원군 서면 와수로146번길 1 (와수리)
강원화천,강원 화천군 화천읍 중앙로 11
강원양구,강원 양구군 양구읍 중앙길 9
강원인제,강원 인제군 인제읍 상동리 295-6
영월,강원 영월군 영월읍 중앙로 17
평창알펜시아,강원 평창군 대관령면 솔봉로 325 알펜시아 콘도 101동 R05호
강원횡계,강원 평창군 대관령면 대관령마루길 7 (횡계리)
속초조양,"강원 속초시 동해대로 4024,111(조양동,1층111~112호)"
속초중앙,강원 속초시 중앙로 136
강릉유천,강원 강릉시 홍제동 1022-4 1층
강릉교동,강원 강릉시 교동광장로 135
강릉대학로,강원 강릉시 경강로 2096
,강원 강릉시 옥천동 189 6층 601호
강릉포남,강원 강릉시 포남동 1186
강릉입암,"강원 강릉시 입암동 708-1, 1층 105호(입암동)"
강릉이마트,강원 강릉시 경강로 2398-10 (송정동) 이마트 1층
강원태백,강원 태백시 황지로 172 (황지동)
동해나안,강원 동해시 나안동 177-7
동해천곡,강원 동해시 대학로 31 101호
삼척쏠비치,강원 삼척시 갈천동 225 로비 1층
삼척남양,강원 삼척시 남양동 17-13
렛츠런파크(임시휴점),"경기 과천시 경마공원대로 107 (주암동, 한국마사회)"
과천역,"경기 과천시 별양로 164 (부림동, 과천센트럴파크푸르지오써밋)"
과천정부청사역,"경기 과천시 별양상가1로 35 상아빌딩 104, 105호"
과천위버필드,"경기 과천시 모템말길 7, 상가12-2동 101, 102호 (갈현동)"
남위례역,"경기 성남시 수정구 위례광장로 25 (창곡동, 성산타워) 104호"
flow위례,"경기 성남시 수정구 위례광장로 320 (창곡동, 아이에스센트럴타워) 1층"
위례트레이더스,"경기 하남시 위례대로 200 (학암동, 스타필드시티 위례점) 지하 3층"
성남태평역,경기 성남시 수정구 수정로 71
위례창곡,"경기 성남시 수정구 위례동로 141 (창곡동, 우성메디피아)"
안양동편마을,"경기 안양시 동안구 동편로 6, 115"
성남모란역,경기 성남시 중원구 성남동 3498
성남태평이마트,경기 성남시 수정구 태평동 7336 이마트 2층
인덕원역0624,경기 안양시 동안구 관양동 1502-4
성남산성,경기 성남시 수정구 산성동 1456
하남감일포웰시티,"경기 하남시 감일백제로 101 (감이동) 아리온프라자 101호, 102호"
의왕포일,"경기 의왕시 안양판교로 99 (포일동, 스마일타워)"
신흥사거리,경기 성남시 수정구 신흥동 4210-2
안양관양,경기 안양시 동안구 관평로 296
판교운중,경기 성남시 분당구 운중동 947
성남세이브존,경기 성남시 수정구 산성대로 337 성남세이브존 지하1층
남한산성역,경기 성남시 중원구 금광동 4840 1층
단대오거리,경기 성남시 중원구 산성대로372번길 3 (금광동)
야탑홈플러스,경기 성남시 분당구 야탑동 341 테마폴리스 3층
안양평촌역,경기 안양시 동안구 관평로170번길 43
평촌새중앙,경기 안양시 동안구 귀인로 289 (평촌동)
분당야탑,경기 성남시 분당구 야탑로 81번길 10 분당아미고타워 108호
성남하대원,경기 성남시 중원구 하대원동 132-12
광명신촌,경기 광명시 소하동 1364
분당아름마을,경기 성남시 분당구 판교로 445
판교원마을,경기 성남시 분당구 운중로 242
성남상대원,경기 성남시 중원구 희망로343번길 2 (상대원동)
안양임곡,경기 안양시 동안구 임곡로 40 (비산동) 1층
안양평촌홈플러스,경기 안양시 동안구 동안로 162 홈플러스 평촌점 1층
안양비산,경기 안양시 동안구 관악대로 129
신구대사거리,경기 성남시 중원구 광명로 369 (금광동)
광명하안,"경기 광명시 범안로 1059, 유창빌딩 101호"
안양관악역,경기 안양시 만안구 석수동 103-5
평촌범계2,경기 안양시 동안구 호계동 1050
평촌범계,"경기 안양시 동안구 평촌대로223번길 64 (호계동, 제일빌딩)"
분당중탑,경기 성남시 분당구 벌말로 37
광명하안6단지,경기 광명시 하안동 37 신영빌딩 103호
광명소하이마트,경기 광명시 소하로 97 이마트 3층
현대판교,"경기 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점)"
구리토평,경기 구리시 수택동 874-11
평촌학원가,"경기 안양시 동안구 평촌대로 141, 103, 104호"
의왕내손,경기 의왕시 갈미2로 40
의왕백운,"경기 의왕시 백운중앙로 45 (학의동, 의왕백운해링턴플레이스 2단지) 상가 1호"
안양덕천래미안,경기 안양시 만안구 안양동 1393
광명철산로데오,경기 광명시 오리로 856번길 25
안양역지하상가,경기 안양시 만안구 만안로 230 안양민자역사
경남거창,경남 거창군 거창읍 중앙로 115-2
경남함양,경남 함양군 함양읍 고운로 58
경남합천,경남 합천군 합천읍 대야로 880-4
경남산청,경남 산청군 산청읍 산청리 166-8
경남창녕,경남 창녕군 창녕읍 창녕대로 18-1 (술정리)
경남의령,경남 의령군 의령읍 행복로1길 87 (동동리)
경남밀양,경남 밀양시 내이동 916
밀양삼문,경남 밀양시 삼문중앙로 23
진주초전,경남 진주시 초전동 1631-4
진주금산,경남 진주시 금산면 중천로 83 (장사리)
진주대안,경남 진주시 대안동 18-11
진주이마트,"경남 진주시 진양호로 477 (인사동, 이마트) 지하 1층"
진주신안,경남 진주시 진양호로 288
진주하대,"경남 진주시 하대로 85 (하대동, 럭스빌) 1층 104호"
진주평거,경남 진주시 새평거로 129 (평거동)
진주과학기술대,경남 진주시 동진로 36-1 (칠암동) 1층
경남함안,경남 함안군 가야읍 가야로 33
진주혁신도시,경남 진주시 사들로 97 (충무공동)
진주충무공동,경남 진주시 충무공동 82-5
진주경상대,경남 진주시 가좌동 639-6
경남하동,경남 하동군 하동읍 읍내리 224-14
신진주역,경남 진주시 가좌동 2064-2
창원감계,"경남 창원시 의창구 북면 감계로 304 (감계리), 1층 101호"
마산호계,경남 창원시 마산회원구 내서읍 호계리 182
마산내서,경남 창원시 마산회원구 내서읍 삼계리 27-1 삼계스포렉스 109호
경남사천,경남 사천시 사천읍 진삼로 1462
창원소답,경남 창원시 의창구 읍성로 55
창원팔용,경남 창원시 의창구 팔용로 428 122호
마산합성,"경남 창원시 마산회원구 3.15대로 744 (합성동, 송하빌딩) 1층 103호"
김해진영,경남 김해시 진영읍 김해대로361번길 8 106호
창원유니시티,경남 창원시 의창구 중동 784-1
김해본산,경남 김해시 진영읍 진영리 1629-4
창원도계,경남 창원시 의창구 도계로60번길 5-19
