Player,Pos,3P,TRB,BLK
Bradley Beal,SG,2.9,3.1,0.3
Garrett Temple,SG,1.3,2.8,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Allen Crabbe,SG,1.7,2.9,0.3
Patrick Beverley,SG,1.6,5.9,0.4
Timofey Mozgov,C,0.0,4.9,0.6
Tony Snell,SG,1.8,3.1,0.2
Wesley Matthews,SG,2.4,3.5,0.2
Manu Ginobili,SG,1.3,2.3,0.2
Nicolas Batum,SG,1.8,6.2,0.4
E'Twaun Moore,SG,1.1,2.1,0.4
Rodney Hood,SG,1.9,3.4,0.2
Karl-Anthony Towns,C,1.2,12.3,1.3
JaVale McGee,C,0.0,3.2,0.9
Montrezl Harrell,C,0.0,3.8,0.7
Austin Rivers,SG,1.5,2.2,0.1
Tarik Black,C,0.0,5.1,0.7
Ben McLemore,SG,1.1,2.1,0.1
Devin Booker,SG,1.9,3.2,0.3
Gary Harris,SG,1.9,3.1,0.1
Edy Tavares,C,0.0,5.5,3.0
Dwyane Wade,SG,0.8,4.5,0.7
Willie Reed,C,0.0,4.7,0.7
Jamal Murray,SG,1.4,2.6,0.3
Klay Thompson,SG,3.4,3.7,0.5
Justin Hamilton,C,0.9,4.1,0.7
Georgios Papagiannis,C,0.0,3.9,0.8
Zach LaVine,SG,2.6,3.4,0.2
DeMarcus Cousins,C,1.8,11.0,1.3
Willie Cauley-Stein,C,0.0,4.5,0.6
Steven Adams,C,0.0,7.7,1.0
Mason Plumlee,C,0.0,7.5,1.1
J.J. Redick,SG,2.6,2.2,0.2
Dion Waiters,SG,1.8,3.3,0.4
Joe Harris,SG,1.6,2.8,0.2
Rudy Gobert,C,0.0,12.8,2.6
Josh Richardson,SG,1.4,3.2,0.7
Tim Hardaway,SG,1.9,2.8,0.2
Salah Mejri,C,0.0,4.2,0.8
Dwight Howard,C,0.0,12.7,1.2
Nene Hilario,C,0.0,4.2,0.6
Bismack Biyombo,C,0.0,7.0,1.1
Alex Len,C,0.0,6.6,1.3
Channing Frye,C,1.9,3.9,0.5
Nikola Jokic,C,0.6,9.8,0.8
Courtney Lee,SG,1.4,3.4,0.3
Al Horford,C,1.3,6.8,1.3
John Henson,C,0.0,5.1,1.3
Nik Stauskas,SG,1.7,2.8,0.4
Jordan Clarkson,SG,1.4,3.0,0.1
Jodie Meeks,SG,1.6,2.1,0.1
Danny Green,SG,1.7,3.3,0.8
Evan Fournier,SG,1.9,3.1,0.1
Andre Drummond,C,0.0,13.8,1.1
Anthony Davis,C,0.5,11.8,2.2
Justin Holiday,SG,1.2,2.7,0.4
Tristan Thompson,C,0.0,9.2,1.1
Eric Gordon,SG,3.3,2.7,0.5
Hassan Whiteside,C,0.0,14.1,2.1
Denzel Valentine,SG,1.3,2.6,0.1
Joel Embiid,C,1.2,7.8,2.5
Brook Lopez,C,1.8,5.4,1.7
Frank Kaminsky,C,1.5,4.5,0.5
Will Barton,SG,1.5,4.3,0.5
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
A.J. Hammons,C,0.2,1.6,0.6
Troy Daniels,SG,2.1,1.5,0.1
Jordan Crawford,SG,1.9,1.8,0.1
Kyle Korver,SG,2.4,2.8,0.3
Alexis Ajinca,C,0.0,4.5,0.6
Myles Turner,C,0.5,7.3,2.1
Buddy Hield,SG,1.8,3.3,0.1
Avery Bradley,SG,2.0,6.1,0.2
Jason Smith,C,0.5,3.5,0.7
Kosta Koufos,C,0.0,5.7,0.7
Jonas Valanciunas,C,0.0,9.5,0.8
Marco Belinelli,SG,1.4,2.4,0.1
Iman Shumpert,SG,1.2,2.9,0.4
Roy Hibbert,C,0.0,3.2,1.0
DeAndre Jordan,C,0.0,13.8,1.7
